job_title,company,content,skills,check
Data Engineer - Spark Developer,EUROPEAN DYNAMICS,"We currently have a vacancy position for a  to join our expanding development teams. Tasks Design, develop, test, deploy, maintain and improve data integration pipeline; Develop pipeline objects using Apache Spark  Pyspark  Python or Scala; Design and develop data pipeline architectures using Azure Databricks, Spark, and related Azure Services. Mandatory Qualifications Bachelor's degree in Computer Science or Software Engineering; Strong analytical skills, team - and quality-oriented, keen to learn and excel; Thorough knowledge of Apache Spark; Experience as a ; Advanced knowledge of Python or Scala; Spark query tuning and performance optimization; Experience with cloud platforms (Azure, AWS, or GCP) Fluency in verbal and written English. Benefits As a  , you will have the opportunity to explore and apply the latest development toolstechnologies. You will be integrated into a friendly team and work closely with the backend developers and business analysts to deliver high-quality applications. Belonging to an international company, you will contribute to challenging IT software projects for major international public organizations and institutions. The complexity and size of the projects and our methodological approach are the best basis for developing your skills and your career. We offer competitive remuneration based on qualifications and experience, including: Competitive full-time salary; Private Health Coverage on the  group program; Flexible working hours, top - of - the Line tools, language courses, specialized trainings; A great opportunity to grow and work with innovative and exciting specialists in the industry; Being part of an environment that offers challenging goals, autonomy, and mentoring, which creates development opportunities, both for you and the company. If you want an exciting challenge, work with some of the coolest technologies and enjoy your time doing it, then join us! Submit your detailed CV in English, quoting reference: ( DESD1222 ). You may also consider all our other open vacancies by visiting the career section of our website ( https: ) and following us on Twitter  and LinkedIn. EUROPEAN DYNAMICS (ED) ( https: ) is a leading European Software, Information, and Communication Technologies company, operating internationally (Athens, Brussels, Luxembourg, Copenhagen, Berlin, Stockholm, London, Nicosia, Valetta, Vienna, Den Haag, Hong Kong, etc.) The company employs over 800 engineers, IT experts, and consultants (around 3% Ph.D., 36% MSc, and 53% BSc). We design and develop software applications using integrated, state-of-the-art technology. Our current IT projects have a value exceeding 300 million EURO. EUROPEAN DYNAMICS is a renowned supplier of IT services to European Union Institutions, international organizations, European Agencies, and national government Administrations in 40 countries and 4 continents. As part of our dedication to the diversity of our workforce, we are committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion. EUROPEAN DYNAMICS (ED) adheres to the General Data Protection Regulation principles by applying its Privacy Policy as published at  . By submitting an application to this position and by sharing your personal data with ED, you acknowledge and accept its Policy and authorize ED to process your personal data for the purposes of the company's recruitment opportunities, in line with the Policy.","['computer science', 'data analysis', 'microsoft dynamic', 'microsoft dynamic nav', 'business analysis', 'write communication', 'ERP', 'GIS']",0.0
Data Analyst,Mellon Technologies,"Responsible for the quality and completeness of data in core systems by performing and overseeing the auditing of data Gathering requirements, developing, validating, and maintaining reports for internal and external stakeholders, while ensuring consistency and accuracy Ensure the timeliness and accuracy of internal and external report deliverables Manage scheduled and ad hoc reporting needs of the organization Execute and manage the completion of large reconciliation tasks and analytical projects Oversee large systems and data related projects and collaborate with cross-functional departments to develop and implement improved reporting, data workflows and processes Lead and execute complex data related analytical projects to drive business decisions and efficiencies Qualifications Bachelor degree in Computer Science or IT 2+ years of Data Analysis, Data Modeling Experience in Microsoft Dynamic NAV ERP Proven experience of an end to end implementation process from business analysis to end report delivery Fluency in English (verbal and written communication) Knowledge of various data mining, reporting, and reconciliation tools and methodologies Systems and software knowledge in R orand Python, SQL Analysis Services, GIS, Data Mining Experience working with diverse business groups within a matrix environment If you are willing to learn new technologies you can work well both independently and within a team, being detail and process oriented, this is an opportunity you do not want to miss!","['computer science', 'software engineering', 'analytical skill', 'apache spark', 'data lake', 'write english', 'information and communication technology', 'international organization']",0.0
Data Engineer,Ernst and Young,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all We are excited to announce the launch of our new EY offices in Patras and are inviting young graduates and experienced professionals from Patras and the wider Western Greece region to join our dynamic consulting team. We are a leader in consulting services and are seeking individuals with the right mix of skill, enthusiasm and curiosity that want an opportunity to enhance their knowledge and develop professionally within a truly global organization. The opportunity Modern technology produces more data than ever before, but also provides the tools to store, organize, analyze and share this data, resulting in new opportunities and substantiated business insights in support of new and deeper insights and more informed decision making. EY delivers leading services and solutions in the area of big data, business intelligence and data engineering built on a blend of tools and custom-developed methods. As part of our Data and Analytics team of the Technology Consulting practice, you will work with multi-disciplinary teams to support clients in a wide range of data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Greece and abroad. Your key responsibilities Participation in large-scale client engagements. Contribution towards, or even leading delivery of innovative and engaging data engineering solutions. Understanding of business and technical requirements, provision of subject matter expertise and implementation of data engineering techniques. Conducting of data discovery activities, performing root cause analysis, and making recommendations for the remediation of data quality issues. Putting good organizational and time management skills into practice, with the ability to prioritize and complete multiple complex projects under tight deadlines. To qualify for the role, you must have A BSc or MSc degree in Computer Science, Mathematics, Engineering or other related, quantitative fields. Advanced SQL skills Knowledge and experience in PowerBI Ideally, you’ll also have: Relevant professional experience. What we look for Strong analytical, problem solving and critical thinking skills. Desire to investigate and try-out new tools and technologies as they are released. Ability to work under tight timelines, in cases for multiple project deliveries. Good interpersonal skills and ability to work effectively within high-performing teams. Confidence to convey technical advice and guidance to clients. Advanced technical writing skills in Greek and English (additional languages a plus). Evidence of self-motivation for continuous development. What we offer We offer a competitive compensation package where you will be rewarded based on your performance and recognized for the value you bring to our business. In addition, our rewards package includes a range of programs and benefits designed to support your physical, financial and social well-being.Plus, we offer: Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next. Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way. Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. If you can demonstrate that you meet the criteria above, please contact us as soon as possible. The exceptional EY experience. It yours to build.","['apache spark', 'computer science', 'software engineering', 'analytical skill', 'write english', 'information and communication technology', 'international organization', 'GCP']",0.0
Junior Data Engineer,Ernst and Young,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The opportunity Modern technology produces more data than ever before, but also provides the tools to store, organize, analyze and share this data, resulting in new opportunities and substantiated business insights in support of new and deeper insights and more informed decision making. EY delivers leading services and solutions in the area of big data, business intelligence and data engineering built on a blend of tools and custom-developed methods. As part of our Data and Analytics team of the Technology Consulting practice, you will work with multi-disciplinary teams to support clients in a wide range of data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Greece and abroad. Your key responsibilities Participation in large-scale client engagements. Contribution towards, or even leading delivery of innovative and engaging data engineering solutions. Understanding of business and technical requirements, provision of subject matter expertise and implementation of data engineering techniques. Conducting of data discovery activities, performing root cause analysis, and making recommendations for the remediation of data quality issues. Putting into practice good organizational and time management skills, with the ability to prioritize and complete multiple complex projects under tight deadlines. To qualify for the role you must have A BSc or MSc degree in Computer Science, Mathematics, Engineering or other related, quantitative fields. Advanced SQL skills Knowledge and experience in PowerBI Ideally, you will also have 0-3 years of relevant professional experience. What we look for Strong analytical, problem solving and critical thinking skills. Desire to investigate and try-out new tools and technologies as they are released. Ability to work under tight timelines, in cases for multiple project deliveries. Good interpersonal skills and ability to work effectively within high-performing teams. Confidence to convey technical advice and guidance to clients. Advanced technical writing skills in Greek and English (additional languages a plus). Evidence of self-motivation for continuous development. What we offer We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business.Plus, we offer: Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next. Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way. Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. About EY EY is a global leader in assurance, tax, strategy, transaction and consulting services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. EY refers to the global organization, and may refer to one or more, of the member firms ofErnst & YoungGlobal Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients. Information about how EY collects and uses personal data and a description of the rights individuals have under data protection legislation are available via ey.comprivacy. For more information about our organization, please visit ey.com. If you can demonstrate that you meet the criteria above, please contact us as soon as possible. The exceptional EY experience. It yours to build. Apply now.","['decision make', 'big datum', 'business intelligence', 'root cause analysis', 'time management', 'computer science', 'problem solve', 'critical thinking', 'technical writing', 'self motivation']",0.0
Data & Analytics Manager - Data Engineering,Ernst and Young,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The opportunity Modern technology produces more data than ever before, but also provides the tools to store, organize, analyze and share this data, resulting in new opportunities and substantiated business insights in support of new and deeper insights and more informed decision making. EY delivers leading services and solutions in the area of big data, business intelligence and data engineering built on a blend of tools and custom-developed methods. As part of our Data and Analytics team of the Technology Consulting practice, you will work with multi-disciplinary teams to support clients in a wide range of data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Greece and abroad. Your Key Responsibilities Participation in large-scale client engagements. Contribution towards, or even leading delivery of innovative and engaging data engineering solutions. Understanding of business and technical requirements, provision of subject matter expertise and implementation of data engineering techniques. Conducting of data discovery activities, performing root cause analysis, and making recommendations for the remediation of data quality issues. Supervising and guiding junior team members. Putting into practice good organizational and time management skills, with the ability to prioritize and complete multiple complex projects under tight deadlines. To qualify for the role you must have: 4 - 7 years of relevant professional experience. A BSc or MSc degree in Computer Science, Mathematics, Engineering or other related, quantitative fields. Experience in leading teams Knowledge of Data Management and DWH concepts Working experience with leading ETL tools Working Experience with leading ReportingBI solutions (PowerBI, Tableau, Qlik, SSRS, etc.) Experience in Big Data and or Cloud, would be considered a plus What We Look For Strong analytical, problem solving and critical thinking skills. Team building skills and ability to guide junior team members. Desire to investigate and try-out new tools and technologies as they are released. Ability to work under tight timelines, in cases for multiple project deliveries. Good interpersonal skills and ability to work effectively within high-performing teams. Confidence to convey technical advice and guidance to clients. Advanced technical writing skills in Greek and English (additional languages a plus). Evidence of self-motivation for continuous development. What We Offer We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. Plus, we offer: Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next. Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way. Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. About EY EY is a global leader in assurance, tax, strategy, transaction and consulting services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. EY refers to the global organization, and may refer to one or more, of the member firms of Ernst & Young Global Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients. Information about how EY collects and uses personal data and a description of the rights individuals have under data protection legislation are available via ey.comprivacy. For more information about our organization, please visit ey.com. If you can demonstrate that you meet the criteria above, please contact us as soon as possible. The Exceptional EY Experience. It Yours To Build. Apply now.","['financial service', 'analytical skill', 'relational database', 'power bi', 'statistical modeling']",0.0
Data Scientist,Ernst and Young,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The opportunity We are excited to announce the launch of our new EY offices in Patras and are inviting young graduates and experienced professionals from Patras and the wider Western Greece region to join our dynamic consulting team. We are a leader in consulting services and are seeking individuals with the right mix of skill, enthusiasm and curiosity that want an opportunity to enhance their knowledge and develop professionally within a truly global organization. You will gain experience working with our Technology Consulting practice, which is a leading provider of services to large organizations of all industries. Being part of our Data & Analytics Center of Excellence, you will work with multi-disciplinary and international teams, in a multicultural and fast- paced environment. You will build your skills in Advanced Analytics, Machine Learning and Artificial Intelligence through multifaceted training to develop applications with diverse real-world datasets. You will solve the business world most challenging problems alongside experienced professionals and subject matter experts. Your key responsibilities You will identify appropriate modeling techniques to answer the most critical business questions and use your analysis to infer business insights in support of your clients’ decision making. You will also resort to various data management and visualization techniques to provide insight into the data. Your portfolio of skills will cover a range of advanced statistical and machine learning techniques for classification, prediction, recommendation, clustering, forecasting, as well as data management, data visualization, and optimization, applied in a commercial context. You will contribute to presentations of modeling results and project proposals. Skills and attributes for success Strong communication, presentation, client service and technical writing skills in English for both technical and business audiences. Strong analytical, problem solving and critical thinking skills. Ability to work under tight timelines for multiple project deliveries. Abilityflexibility to travel and work abroad for international projects. To qualify for the role, you must have Excellent academic background, including a BSc or a MSc degree in Data Science, Business Analytics, Statistics, Mathematics, Econometrics, Engineering, Operational Research, Computer Science, or another related field with strong quantitative focus. Mathematical understanding of machine learning, predictive modeling and optimization algorithms 1 year of relevant professional, academic or research experience in some of the following: MLNLP tools like TensorFlow, PyTorch, scikit-learn, pandas, caret etc. Coding and software engineering in mainstream programming languages, such as Python or Go. Statistical packages for data manipulation and in development of predictive and prescriptive models (e.g. R, SAS, SPSS). Data analysis and manipulation of large datasets using e.g. SQL, spark. What we look for What most important is that you’re dedicated to working with your colleagues as part of a high-performing team. You’ll need to demonstrate enthusiasm, high motivation and passion to develop fast in a multinational working environment. You’ll need to thrive in picking up new skills and talents as you go, so natural curiosity, a lot of questions and the confidence to speak up when you see something that could be improved are essential. If you’ve got the right combination of technical knowledge and communication skills, this role is for you. What we offer We offer a competitive compensation package where you will be rewarded based on your performance and recognized for the value you bring to our business. In addition, our rewards package includes a range of programs and benefits designed to support your physical, financial and social well-being.Plus, we offer: Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next. Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way. Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. If you can demonstrate that you meet the criteria above, please contact us as soon as possible. The exceptional EY experience. It yours to build. EY | Building a better working world EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets. Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate. Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.","['service provider', 'data analysis', 'decision make', 'strategic planning', 'performance analysis', 'analytical skill']",0.0
Senior Data Engineer,EUROPEAN DYNAMICS,"We currently have vacancy position for a   , to join our expanding development teams in Athens, or to work remotely. Main responsibilities and tasks: Write code supporting the development of big data solutions, implementing complete data integration or analytic use cases; Design and Implement ETLELT processes; Design and Implement Streaming processes. Requirements: Bachelor degree in Computer Science or Software Engineering; Strong analytical skills, team - and quality-oriented, keen to learn and excel; Thorough knowledge of Apache Spark and Databricks; Experience as a ; Advanced knowledge of Python, Databases; Understanding Azure Data Lake Storage and Delta Live Tables; Fluency in verbal and written English. Benefits We offer competitive remuneration (with full benefits package) based on qualifications and experience, including: Competitive full-time salary; Private Health Coverage on the  group program; Flexible working hours, top - of - the Line tools, language courses, specialized trainings; A great opportunity to grow and work with innovative and exciting specialists in the industry; Being part of an environment that offers challenging goals, autonomy and mentoring, which creates development opportunities, both for you and the company. If you are seeking a career in an exciting, dynamic, and multicultural international environment with exciting opportunities that will boost your career, please send us your detailed CV in English quoting reference: (SDE1222). You may also consider all our other open vacancies by visiting the career section of our website ( and follow us on Twitter  and LinkedIn. EUROPEAN DYNAMICS (  ) is a leading European Software, Information and Communication Technologies company, operating internationally (Athens, Brussels, Luxembourg, Copenhagen, Berlin, Stockholm, London, Nicosia, Valetta, Vienna, Den Haag, Hong Kong, etc.) The company employs over 800 engineers, IT experts and consultants (around 3% PhD, 36% MSc and 53% BSc). We design and develop software applications using integrated, state-of-the-art technology. Our current IT projects have a value exceeding 300 million EURO. EUROPEAN DYNAMICS is a renowned supplier of IT services to European Union Institutions, international organizations, European Agencies and national government Administrations in 40 countries and 4 continents. As part of our dedication to the diversity of our workforce, we are committed to Equal Employment Opportunity without regard for race, colour, age, national origin, ethnicity, gender, disability, sexual orientation, gender identity or religion. EUROPEAN DYNAMICS (ED) adheres to the General Data Protection Regulation principles by applying its Privacy Policy as published in  . By submitting an application to this position and by sharing your personal data with ED, you acknowledge and accept its Policy and authorise ED to process your personal data for the purposes of the company's recruitment opportunities, in line to the Policy.","['decision make', 'big datum', 'business intelligence', 'root cause analysis', 'time management', 'computer science', 'problem solve', 'critical thinking', 'technical writing', 'self motivation', 'capital market', 'com']",0.0
Data Engineer,PeopleCert,"Are you interested in working with a leading education technology player, the global leader in the assessment and certification of professional skills industry with presence in more than 200 countries worldwide? If so, this is the chance to apply now! Are you passionate about working with data? Are you a hands-on professional interested in how insight can transform Business and Data Governance? PeopleCert currently looking for a  . The Business Intelligence & Big Data (BIBD) team is responsible for the organization of management and operational information, by developing the corporate data warehouse, corporate data lake, cubes for self-service reporting, BI reports, and advanced analytics deliverables. Being a team within the Data Management Office, we also contribute to the coordination data governance, data quality and master data management activities across the organization. As a , your tasks will include the following: Contribute to the design and implementation of data factory pipelines (ELT workloads) Populate the corporate data lake from various source systems (including MS Dynamics CRM, MS Dynamics NAV, and in-house developed software applications) Contribute to the implementation of SSIS ETL workflows to populate the corporate data warehouse. If desired, contribute to BI data models, BI reports, and data science deliverables. Carry out any reasonably allocated duties and tasks, relevant to the role and the scope of activities by applying a flexible and adaptable customer centric approach to serve PEOPLECERT multinational presence and global operations across multiple time zones What we look for: Minimum 4 years working experience in big data workloads, leveraging Microsoft Azure technologies (e.g. Azure Data Lake, Data Lake, Databricks) Undergraduate and graduate degrees combining knowledge on the areas of Computer Science and Business Management. Excellent command of the English language (C2 level certification desired, LanguageCert C2 LTE or C2 IESOL certificate would be a plus) Experience in data warehousing workloads using ETL technologies (e.g. Data Factory Pipelines) and solid T-SQL skills. Experience in data-related programming languages (SQL, Spark ,Python, etc) Experience in SSAS tabular or in Power BI data modeling is optional, includes DAX. Optional exposure to data science work, Python Jupyter notebooks, Databricks. Strong commitment to quality and delivery timelines, proactive, team player. What we offer: Work in an international, dynamic and fun atmosphere Two free vouchers for all certifications from PeopleCert's Portfolio per year for all employees Complimentary coffee and tea in all our premises Huge learning experience in using best practices and global environment Constant personal and professional development 100% Virtual Hiring Process If you want to become a member of our international, dynamic and agile team that creates world leading software products, then we should certainly like to hear from you! About PeopleCert PeopleCert is a global leader in assessment and certification of professional skills, partnering with multi-national organizations and government bodies for the development & delivery of standardized exams. Delivering exams across 200 countries and in 25 languages over its state-of-the-art assessment technology, PeopleCert enables professionals to boost their careers and realize their life ambitions. Quality, Innovation, Passion, Integrity are the core values which guide everything we do. Our offices in UK, Greece, and Cyprus boast a culture of diversity, where everyone is different, yet everyone fits in. All of us at PeopleCert are committed to the reflection of the diversity and inclusion of our customers and the communities in which we do business. Working on Home Office (HO) Secure English Language Tests (SELTs) Any person who is engaged by PeopleCert to work on the SELT service must undergo a Background Check (the results of which must be acceptable to PeopleCert and the HO) prior to commencing their SELT duties. All SELT personnel will be required to complete a declaration (provided by PeopleCert) where the existence of any criminal record andor bankruptcy must be declared. If working on the SELT service in the UK, background checks will include: A basic or enhanced Disclosure Barring Service (DBS) check Right to Work in the UK check (including nationality, identity and place of residence) HO security check (Baseline Personnel Security Standard (BPSS) or Counter Terrorist Check (CTC) Financial background check Employment reference check If working on the SELT service anywhere in the world (outside of the UK) personnel will undergo background checks that are equivalent to those stated for the UK In addition, if personnel are required to speak to SELT candidates they must be appropriately skilled in English language and, where SELT services are provided anywhere in the world (outside of the UK), the official language of the relevant country. All applications will be treated with strict confidentiality.","['decision make', 'big datum', 'business intelligence', 'root cause analysis', 'time management', 'computer science', 'problem solve', 'critical thinking', 'technical writing', 'self motivation', 'capital market', 'ETL', 'com']",0.0
Data Engineer and Reporting Analyst,AEGEAN AIRLINES,"and Reporting Analyst Division: Commercial Department: Revenue Management BI, ing, Systems & Reporting Location: Spata, Greece Type of Employment: Full-time Deadline: 20122022 About us AEGEAN Airlines, based in Athens, Greece, is a member of the Star Alliance Group since 2010 and a proud winner of 12 SKYTRAX World Airline awards for ‘Best Regional Airline in Europe’. Our employees have been instrumental in our success, through seeking to channel their energy and motivation into the challenging industry of aviation, providing services of high standards across all travel stages and contributing to the continuous improvement of our products. We are looking for enthusiastic, talented and dedicated individuals, who can drive our organization forward. If you wish to explore the exciting world of aviation, join our team! About the new job There is currently a job opening “  and Reporting Analyst ”, in the Commercial Division. As a data engineer & reporting analyst, you will be responsible for ensuring the smooth operation of the Revenue Management day to day tasks. Those tasks include various operations on data like loading, processing and extraction. The reporting aspect of the post includes report creation, maintenance and optimization. This role is for you if you want an excellent opportunity to actively support the decision-making process, create impact and add value in a modern and agile environment. What you will do: Support the decision-making process of Revenue Management analysts and top management by designing and providing provision of sales, flown revenue and revenue management data reports Ensure the smooth operation of the Revenue Management server. Own the application of the Revenue Management reporting system and assess new product versions, propose new developments, ensuring the quality of the produced reports Support the department database infrastructure for reports’ production. Monitor the performance of databases and take proactive or corrective actions for enhancements Provide technical support to the department members You fit , if you cover the following requirements : Bachelor degree in Computer Science  IT or another quantitative field Fluency in GreekEnglish, both oral and written General knowledge of databases and the SQL scripting language Knowledge of using Excel as a reporting tool General understanding of the ETL concepts, ideally implemented via the SQL Server Integration Services Hands-on experience on the SQL Server Reporting Services Knowledge of some data visualization software, preferably Power BI And you have competence in: Thinking out of the box, in a both analytical and proactive way Building long-lasting relationships with team members and partners Developing collaborative relationships with cross functional teams Organizing and paying attention to detail Working effectively under pressure, both independently and as a member of a team Communicating effectively If you pursue your career journey with Aegean, on top of a challenging job, we offer: A working environment where you feel valued and appreciated Excellent career and development opportunities within the organization Flight tickets Private health insurance scheme If this looks like an interesting opportunity for you, send us your application now! Your application shall contain CV in English language and is to be submitted until the 20122022 . All applications will be treated as strictly confidential. Please note that only shortlisted candidates will be contacted. Keep on following us to find a job opening that matches your profile.","['business analysis', 'marketing analysis', 'microsoft excel', 'english language', 'google analytic', 'self motivation', 'career development', 'CRM']",0.0
Data Analyst,Tech4sGroup,"Tech4S Group, is a fast growing and innovative service provider established in Limassol with international exposure. Our goal is to provide tech oriented and high-quality services enabling our clients’ growth and success. Our team consist of IT, Marketing, eCommerce & other high calibre professionals with experience in different industries. Due to continuous growth, we are seeking to hire a  to join our VIP Department. Responsibilities: Translatebusiness requestinto a data analysis Clean andprepare datato compute and interpret KPIs and perform analysis Analyse datasets to uncovertrends, patternsandinsightsto help decision making (help guide the business strategic planning, use existing data to forecast future performance, etc.) Providechartsandvisualizationto describe the data in support of Business Analysts Build and maintainreportsanddashboards Documentvarious processes so that other members of the organization understand how insights were gathered Depending on your profile you’ll collaborate with different departments (Marketing, Affiliates, etc) on various projects including performance analysis of our brands, segments, process optimisation, etc. Requirements: Relevant and strong academic background Strong skills in SQL, Excel and python for data analysis Solid quantitative and analytical skills and knowledgeable in statistics (AB testing, hypothesis testing, regression...) Proficiency in data modeling and knowledgeable in database performances Data visualisation best practices (the right chart for the data) and proficiency in at least one tool (PowerBI, Tableau...) Highly organised and able to prioritise effectively Fluency in English, French is a plus Experience in the online industry will be considered as advantage e.g. iGaming Knowledge of Zendesk will be considered as a plus Benefits : Breakfast items daily Free Lunch 3 timesweek Annual Bonus based on Performance Work from Home plan Group Medical Plan Flexible Working Hours Personal Development allowance Free Transportation Friday Drinks Quarterly Group events Relocation allowance for Cyprus Kindly apply on this link: https:t4sltd.bamboohr.comcareers115 All applications are maintained in strict confidence. Due to high volume of CV received only successful candidates will be contacted.","['revenue management', 'decision make', 'technical support', 'computer science', 'reporting tool', 'sql server integration service', 'power bi', 'english language', 'ETL']",0.0
